time,value
1585908035196,0
1585908036158,0
1585908037186,0
1585908038183,0
1585908038731,0
1585908039727,0
1585908040756,0
1585908041731,0
1585908042728,0
1585908044169,0
1585908045164,85
1585908046163,94
1585908047159,100
1585908048159,100
1585908049156,99
1585908050129,98
1585908051128,97
1585908052126,96
1585908053124,95
1585908054098,94
1585908055186,94
1585908056183,94
1585908057181,93
1585908058614,93
1585908058741,93
1585908059738,94
1585908060735,97
1585908061733,99
1585908062729,101
1585908063728,103
1585908064725,104
1585908066164,105
1585908067163,106
1585908068160,106
1585908069158,107
1585908070155,107
1585908071184,108
1585908072180,108
1585908073178,108
1585908074173,107
1585908075174,107
1585908076172,106
1585908077168,105
1585908078165,104
1585908079163,103
1585908080160,102
1585908081622,101
1585908081728,101
1585908083031,103
1585908084030,104
1585908085026,106
1585908086168,107
1585908087195,108
1585908088191,109
1585908089190,110
1585908090669,111
1585908090736,112
1585908091733,112
1585908093666,113
1585908093734,113
1585908094733,114
1585908096653,114
1585908096720,115
1585908098162,115
1585908098738,115
1585908099962,116
1585908100958,117
1585908101955,118
1585908103086,120
1585908104085,0
1585908105083,0
1585908106080,0
1585908107078,0
1585908108074,0
1585908109073,0
1585908110099,124
1585908111099,124
1585908113086,124
1585908113116,124
1585908115019,124
1585908115111,124
1585908116108,124
1585908117195,124
1585908118028,124
1585908119956,126
1585908119985,128
1585908120862,130
1585908122169,131
1585908123166,132
1585908124163,134
1585908125160,135
1585908126114,137
1585908127110,138
1585908128084,139
1585908129081,139
1585908129931,141
1585908130928,143
1585908131924,144
1585908132924,144
1585908133921,144
1585908134979,144
1585908135974,144
1585908137310,144
1585908137829,145
1585908138825,145
1585908139823,146
1585908141307,147
1585908141826,148
1585908143634,149
1585908143768,149
1585908145305,150
1585908146301,151
1585908146819,152
1585908147818,153
1585908148830,154
1585908149804,154
1585908150803,155
1585908151769,155
1585908152768,155
1585908153781,156
1585908155678,156
1585908155729,156
1585908156728,157
1585908157975,157
1585908159929,158
1585908159959,158
1585908160958,158
1585908161957,159
1585908163013,160
1585908163950,160
1585908164956,160
1585908166914,161
1585908166944,161
1585908167918,161
1585908168915,161
1585908169860,162
1585908171143,163
1585908171876,163
1585908173354,163
1585908173933,163
1585908174961,163
1585908175956,162
1585908177016,162
1585908177991,163
1585908178986,164
1585908179933,165
1585908180929,165
1585908181928,165
1585908182925,165
1585908183924,166
1585908184898,166
1585908185894,166
1585908187371,166
1585908188116,165
1585908189091,165
1585908190569,166
1585908190725,167
1585908192166,167
1585908193079,167
1585908194078,167
1585908195054,167
1585908196050,166
1585908197054,166
1585908198053,167
1585908199049,167
1585908200048,168
1585908201006,167
1585908202006,167
1585908203004,168
1585908204059,168
1585908205029,169
1585908206025,169
1585908207023,170
1585908207816,169
1585908209123,169
1585908210120,169
1585908212078,170
1585908212107,170
1585908212820,170
1585908213907,169
1585908214748,169
1585908215743,170
1585908216772,170
1585908217806,171
1585908218799,171
1585908220314,171
1585908220860,172
1585908221858,172
1585908222855,172
1585908223921,172
1585908224918,172
1585908225914,172
1585908227394,172
1585908227940,172
1585908228937,172
1585908230010,173
1585908231519,173
1585908231794,172
1585908233274,172
1585908234270,172
1585908234848,172
1585908236326,172
1585908236841,172
1585908238283,172
1585908239196,172
1585908240195,171
1585908242152,171
1585908242183,171
1585908243211,171
1585908243794,172
1585908245274,172
1585908245819,172
1585908246817,171
1585908247876,171
1585908248873,171
1585908249870,171
1585908251349,171
1585908251864,171
1585908252863,171
1585908253860,171
1585908254858,172
1585908255855,172
1585908256853,172
1585908257849,171
1585908258848,170
1585908259846,169
1585908260841,168
1585908261840,167
1585908262837,166
1585908263836,165
1585908264833,165
1585908265939,164
